

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To, Assignment Name, Value
clock_50, Location, PIN_Y2
clock_27, Location, PIN_B14
LEDR[0],  Location,   PIN_G19
LEDR[1],  Location,   PIN_F19
LEDR[2],  Location,   PIN_E19
LEDR[3],  Location,   PIN_F21
LEDR[4],  Location,   PIN_F18
LEDR[5],  Location,   PIN_E18
LEDR[6],  Location,   PIN_J19
LEDR[7],  Location,   PIN_H19
LEDR[8],  Location,   PIN_J17
LEDR[9],  Location,   PIN_G17
LEDR[10],  Location,   PIN_J15
LEDR[11],  Location,   PIN_H16
LEDR[12],  Location,   PIN_J16
LEDR[13],  Location,   PIN_H17
LEDR[14],  Location,   PIN_F15
LEDR[15],  Location,   PIN_G15
LEDR[16],  Location,   PIN_G16
LEDR[17],  Location,   PIN_H15
LEDG[0],  Location,   PIN_E21
LEDG[1],  Location,   PIN_E22
LEDG[2],  Location,   PIN_E25
LEDG[3],  Location,   PIN_E24
LEDG[4],  Location,   PIN_H21
LEDG[5],  Location,   PIN_G20
LEDG[6],  Location,   PIN_G22
LEDG[7],  Location,   PIN_G21
LEDG[8],  Location,   PIN_F17
KEY[0], Location, PIN_M23
KEY[1], Location, PIN_M21
KEY[2], Location, PIN_N21
KEY[3], Location, PIN_R24
SW[0], Location, PIN_AB28
SW[1], Location, PIN_AC28
SW[2], Location, PIN_AC27
SW[3], Location, PIN_AD27
SW[4], Location, PIN_AB27
SW[5], Location, PIN_AC26
SW[6], Location, PIN_AD26
SW[7], Location, PIN_AB26
SW[8], Location, PIN_AC25
SW[9], Location, PIN_AB25
SW[10], Location, PIN_AC24
SW[11], Location, PIN_AB24
SW[12], Location, PIN_AB23
SW[13], Location, PIN_AA24
SW[14], Location, PIN_AA23
SW[15], Location, PIN_AA22
SW[16], Location, PIN_Y24
SW[17], Location, PIN_Y23
LCD_DATA[0],  Location,   PIN_L3
LCD_DATA[1],  Location,   PIN_L1
LCD_DATA[2],  Location,   PIN_L2
LCD_DATA[3],  Location,   PIN_K7
LCD_DATA[4],  Location,   PIN_K1
LCD_DATA[5],  Location,   PIN_K2
LCD_DATA[6],  Location,   PIN_M3
LCD_DATA[7],  Location,   PIN_M5
LCD_BLON,  Location,   PIN_L6
LCD_RW,  Location,   PIN_M1
LCD_EN,  Location,   PIN_L4
LCD_RS,  Location,   PIN_M2
LCD_ON,  Location,   PIN_L5
HEX0[0],  Location,   PIN_G18
HEX0[1],  Location,   PIN_F22
HEX0[2],  Location,   PIN_E17
HEX0[3],  Location,   PIN_L26
HEX0[4],  Location,   PIN_L25
HEX0[5],  Location,   PIN_J22
HEX0[6],  Location,   PIN_H22
HEX1[0],  Location,   PIN_M24
HEX1[1],  Location,   PIN_Y22
HEX1[2],  Location,   PIN_W21
HEX1[3],  Location,   PIN_W22
HEX1[4],  Location,   PIN_W25
HEX1[5],  Location,   PIN_U23
HEX1[6],  Location,   PIN_U24
HEX2[0],  Location,   PIN_AA25
HEX2[1],  Location,   PIN_AA26
HEX2[2],  Location,   PIN_Y25
HEX2[3],  Location,   PIN_W26
HEX2[4],  Location,   PIN_Y26
HEX2[5],  Location,   PIN_W27
HEX2[6],  Location,   PIN_W28
HEX3[0],  Location,   PIN_V21
HEX3[1],  Location,   PIN_U21
HEX3[2],  Location,   PIN_AB20
HEX3[3],  Location,   PIN_AA21
HEX3[4],  Location,   PIN_AD24
HEX3[5],  Location,   PIN_AF23
HEX3[6],  Location,   PIN_Y19
HEX4[0],  Location,   PIN_AB19
HEX4[1],  Location,   PIN_AA19
HEX4[2],  Location,   PIN_AG21
HEX4[3],  Location,   PIN_AH21
HEX4[4],  Location,   PIN_AE19
HEX4[5],  Location,   PIN_AF19
HEX4[6],  Location,   PIN_AE18
HEX5[0],  Location,   PIN_AD18
HEX5[1],  Location,   PIN_AC18
HEX5[2],  Location,   PIN_AB18
HEX5[3],  Location,   PIN_AH19
HEX5[4],  Location,   PIN_AG19
HEX5[5],  Location,   PIN_AF18
HEX5[6],  Location,   PIN_AH18
HEX6[0],  Location,   PIN_AA17
HEX6[1],  Location,   PIN_AB16
HEX6[2],  Location,   PIN_AA16
HEX6[3],  Location,   PIN_AB17
HEX6[4],  Location,   PIN_AB15
HEX6[5],  Location,   PIN_AA15
HEX6[6],  Location,   PIN_AC17
HEX7[0],  Location,   PIN_AD17
HEX7[1],  Location,   PIN_AE17
HEX7[2],  Location,   PIN_AG17
HEX7[3],  Location,   PIN_AH17
HEX7[4],  Location,   PIN_AF17
HEX7[5],  Location,   PIN_AG18
HEX7[6],  Location,   PIN_AA14
