time,sim_impulse_response
               12760,      0,      0
               13080,      0,      0
               13400,     -1,      0
               13720,     -2,      0
               14040,     -3,      0
               14360,     -3,     -2
               14680,     -2,     -4
               15000,     -1,     -6
               15320,     -1,     -4
               15640,     -4,     -2
               15960,     -7,      0
               16280,    -10,     -2
               16600,     -8,     -6
               16920,     -5,    -10
               17240,     -2,    -12
               17560,     -1,    -10
               17880,     -5,     -6
               18200,    -10,     -2
               18520,    -15,     -2
               18840,    -15,     -8
               19160,    -11,    -14
               19480,     -6,    -20
               19800,     -1,    -16
               20120,     -5,    -10
               20440,    -12,     -4
               20760,    -19,     -2
               21080,    -23,     -9
               21400,    -17,    -17
               21720,    -10,    -25
               22040,     -3,    -22
               22360,     -5,    -14
               22680,    -13,     -6
               23000,    -22,     -1
               23320,    -28,    -11
               23640,    -24,    -21
               23960,    -16,    -31
               24280,     -7,    -28
               24600,     -5,    -18
               24920,    -13,     -8
               25240,    -23,     -2
               25560,    -31,    -13
               25880,    -31,    -25
               26200,    -23,    -37
               26520,    -13,    -34
               26840,     -9,    -22
               27160,    -13,    -10
               27480,    -23,     -2
               27800,    -33,    -13
               28120,    -35,    -27
               28440,    -32,    -41
               28760,    -23,    -42
               29080,    -15,    -28
               29400,    -14,    -14
               29720,    -17,      0
               30040,    -28,    -13
               30360,    -36,    -29
               30680,    -42,    -45
               31000,    -45,    -50
               31320,    -38,    -36
               31640,    -34,    -20
               31960,    -28,     -4
               32280,    -24,    -11
               32600,    -25,    -27
               32920,    -24,    -45
               33240,    -35,    -58
               33560,    -31,    -46
               33880,    -27,    -30
               34200,    -34,    -12
               34520,    -37,     -7
               34840,    -45,    -19
               35160,    -44,    -39
               35480,    -33,    -59
               35800,    -19,    -69
               36120,     -4,    -67
               36440,     -8,    -48
               36760,    -21,    -28
               37080,    -55,    -12
               37400,    -80,    -19
               37720,    -76,    -35
               38040,    -44,    -47
               38360,      7,    -57
               38680,     38,    -53
               39000,     23,    -40
               39320,    -36,    -26
               39640,   -112,    -17
               39960,   -157,    -20
               40280,   -130,    -30
               40600,    -33,    -50
               40920,     81,    -63
               41240,    141,    -53
               41560,     98,    -39
               41880,    -48,    -25
               42200,   -220,    -24
               42520,   -301,    -30
               42840,   -234,    -35
               43160,    -17,    -42
               43480,    224,    -35
               43800,    337,    -34
               44120,    235,    -35
               44440,    -67,    -51
               44760,   -403,    -61
               45080,   -554,    -59
               45400,   -403,    -36
               45720,      2,     -4
               46040,    455,     20
               46360,    669,     10
               46680,    468,    -40
               47000,    -89,   -103
               47320,   -702,   -145
               47640,   -992,   -122
               47960,   -726,    -34
               48280,     24,     72
               48600,    860,    134
               48920,   1269,     93
               49240,    919,    -43
               49560,   -105,   -206
               49880,  -1273,   -298
               50200,  -1868,   -235
               50520,  -1405,    -29
               50840,     38,    209
               51160,   1752,    341
               51480,   2700,    245
               51800,   2092,    -40
               52120,   -110,   -389
               52440,  -2948,   -571
               52760,  -4796,   -445
               53080,  -4049,    -32
               53400,     45,    457
               53720,   6884,    721
               54040,  14576,    548
               54360,  20630,    -38
               54680,  22914,   -738
               55000,  20630,  -1141
               55320,  14576,   -897
               55640,   6884,    -48
               55960,     45,   1012
               56280,  -4049,   1640
               56600,  -4796,   1311
               56920,  -2948,    -28
               57240,   -110,  -1805
               57560,   2092,  -3001
               57880,   2700,  -2595
               58200,   1752,    -52
               58520,     38,   4250
               58840,  -1405,   9118
               59160,  -1868,  12981
               59480,  -1273,  14428
               59800,   -105,  12981
               60120,    919,   9118
               60440,   1269,   4250
               60760,    860,    -52
               61080,     24,  -2595
               61400,   -726,  -3001
               61720,   -992,  -1805
               62040,   -702,    -28
               62360,    -89,   1311
               62680,    469,   1640
               63000,    669,   1012
               63320,    455,    -48
               63640,      2,   -897
               63960,   -403,  -1141
               64280,   -554,   -738
               64600,   -402,    -38
               64920,    -67,    548
               65240,    235,    721
               65560,    337,    457
               65880,    224,    -32
               66200,    -17,   -445
               66520,   -234,   -571
               66840,   -301,   -389
               67160,   -219,    -40
               67480,    -48,    245
               67800,     98,    341
               68120,    141,    209
               68440,     81,    -29
               68760,    -34,   -235
               69080,   -130,   -298
               69400,   -157,   -206
               69720,   -111,    -43
               70040,    -35,     93
               70360,     23,    134
               70680,     38,     72
               71000,      6,    -34
               71320,    -45,   -122
               71640,    -76,   -145
               71960,    -79,   -103
               72280,    -53,    -40
               72600,    -17,     10
               72920,     -4,     20
               73240,     -1,     -4
               73560,    -17,    -36
               73880,    -32,    -59
               74200,    -44,    -61
               74520,    -46,    -51
               74840,    -38,    -35
               75160,    -34,    -34
               75480,    -27,    -35
